datetime, energy level, power consumption2023-11-02 11:31:01,"17,055 Wh","4,60731 W"
2023-11-02 11:32:01,"17,055 Wh","4,60731 W"
2023-11-02 11:33:02,"17,055 Wh","4,60731 W"
2023-11-02 11:34:01,"17,055 Wh","4,60731 W"
2023-11-02 11:35:01,"16,692 Wh","4,89261 W"
2023-11-02 11:36:01,"16,692 Wh","4,89261 W"
2023-11-02 11:37:01,"16,692 Wh","4,89261 W"
2023-11-02 11:38:01,"16,692 Wh","4,89261 W"
2023-11-02 11:39:01,"16,692 Wh","4,89261 W"
2023-11-02 11:40:01,"16,692 Wh","4,89261 W"
2023-11-02 11:41:01,"16,329 Wh","4,46096 W"
2023-11-02 11:42:01,"16,329 Wh","4,46096 W"
2023-11-02 11:43:01,"16,329 Wh","4,46096 W"
2023-11-02 11:44:01,"16,329 Wh","4,46096 W"
2023-11-02 11:45:02,"15,966 Wh","4,60731 W"
2023-11-02 11:46:01,"15,966 Wh","4,60731 W"
2023-11-02 11:47:01,"15,966 Wh","4,60731 W"
2023-11-02 11:48:01,"15,966 Wh","4,60731 W"
2023-11-02 11:49:01,"15,966 Wh","4,60731 W"
2023-11-02 11:50:01,"15,966 Wh","4,60731 W"
2023-11-02 11:51:01,"15,603 Wh","4,11153 W"
2023-11-02 11:52:01,"15,603 Wh","4,11153 W"
2023-11-02 11:53:01,"15,603 Wh","4,11153 W"
2023-11-02 11:54:01,"15,603 Wh","4,11153 W"
2023-11-02 11:55:01,"15,24 Wh","4,60731 W"
2023-11-02 11:56:01,"15,24 Wh","4,60731 W"
2023-11-02 11:57:01,"15,24 Wh","4,60731 W"
2023-11-02 11:58:02,"15,24 Wh","4,60731 W"
2023-11-02 11:59:01,"14,878 Wh","4,88696 W"
2023-11-02 12:00:01,"14,878 Wh","4,88696 W"
2023-11-02 12:01:01,"14,515 Wh","6,83829 W"
2023-11-02 12:02:01,"14,515 Wh","6,83829 W"
2023-11-02 12:03:01,"14,152 Wh","8,81 W"
2023-11-02 12:04:01,"14,152 Wh","8,81 W"
2023-11-02 12:05:01,"13,426 Wh","15,5571 W"
2023-11-02 12:06:01,"13,426 Wh","15,5571 W"
2023-11-02 12:07:01,"13,063 Wh","14,7793 W"
2023-11-02 12:08:01,"13,063 Wh","14,7793 W"
2023-11-02 12:09:01,"12,7 Wh","13,2236 W"
2023-11-02 12:10:01,"12,7 Wh","13,2236 W"
2023-11-02 12:11:01,"12,337 Wh","10,89 W"
2023-11-02 12:12:01,"12,337 Wh","10,89 W"
2023-11-02 12:13:02,"11,975 Wh","10,8771 W"
2023-11-02 12:14:01,"11,975 Wh","10,8771 W"
2023-11-02 12:15:01,"11,249 Wh","15,5464 W"
